 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"1992/Mar";"1992/Abr";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Mar";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"52 Goiás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;174;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;31;31;-;-;-;-;-;-;-;304;-;31;-;-;-;-;-;8;11;24;-;947;826;-;-;-;220;289;1505;3063;8542;19267;66443;973494;138270;156361;155311;140654;150575;150631;152414;147412;143506;135538;119055;139807;132659;154750;147396;151813;149649;144196;162440;148094;163563;148786;149132;166212;144948;170393;157669;275048;144448;152866;162196;159844;149792;140616;134130;152528;137208;163367;141435;151481;136829;142644;152539;150181;162366;146177;129772;148808;146105;155365;147880;143345;146972;136270;152474;136832;142015;133062;122531;144938;136042;151116;155405;144054;133660;144855;146184;149284;145110;136395;123915;135413;127542;133231;144491;144369;134971;133455;134504;142199;138088;129744;144615;140222;127682;158601;154470;147260;143771;141765;137459;141935;137561;130011;133535;138381;128390;142408;131791;133718;130967;127326;136038;125025;124628;121636;116130;126902;115185;139282;122614;129283;122795;120498;127185;121105;126516;122137;120348;131081;118386;130182;130429;134395;123655;131583;131208;124933;133134;123356;121447;130764;122240;132087;133436;139123;127437;132439;138967;133143;136413;130503;126885;137604;124772;117097;101499;107752;116872;127313;130185;129087;126508;115529;112580;109021;82676;46905;22794396
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1336;3616;162;-;232;187;1298;2880;9203;23701;43179;66760;100577;94890;101663;104123;98115;96418;96854;97307;97619;95732;93753;85978;97800;88480;107122;103472;100941;98062;102069;103284;99730;97990;97468;90200;105087;98367;112297;106716;109775;102022;108704;106638;105468;102594;102555;94107;107318;97977;110669;106517;105866;103032;103260;110693;112489;110073;106358;98747;113671;102285;111707;112150;116767;109245;109859;111940;100420;110361;95678;95815;106140;91417;100916;110221;108596;98712;103852;100262;95304;102592;95342;94282;99886;92604;103915;103744;105271;97941;101167;94388;93309;96899;91774;86009;91848;84156;102865;103245;100082;92094;92782;94137;93504;87816;85836;85581;96170;89873;99565;98446;106055;98774;98905;104675;97982;100376;93757;94273;102912;94118;111346;104627;94149;102179;99440;106349;101369;105758;99997;94004;107803;96061;104903;107084;105442;100968;108239;105368;105649;112098;106841;101843;112487;100744;111762;118015;117385;107385;116772;114187;109365;112493;102654;97785;105478;93870;92012;78886;83997;84700;93177;96123;97764;104156;96693;97371;94388;71538;42088;16118590
"Total";1253;388;488;970;1216;608;608;488;730;608;518;596;212;488;457;488;1187;608;1185;1065;503;93;22859;44992;42110;577;549;2762;2769;1096;1096;820;1904;629;3893;1503;1189;851;174;640;634;776;2514;1215;568;93;796;93;6357;11562;565;56;2189;608;123;608;1402;2858;362;1160;705;306;577;577;1762;1393;608;608;1199;174;1096;675;639;608;31;2227;27;1854;1951;2250;3434;494;608;1657;1707;2432;1762;2308;608;1183;3095;675;119;359;495;7439;827;390;1793;1308;290;1793;8060;2460;1390;1276;753;2841;1302;30;784;19;33;752;20772;21065;2375;2192;2796;6764;18695;74148;167268;475789;1056381;2413815;33942750;5249405;5151763;5250229;5154051;5019744;5609725;5046436;4954287;5023262;4746280;4468305;6062955;4427258;5380781;5233159;5217294;5166701;5235698;5184522;5038819;5098679;4974576;4662428;6130478;4664966;5482327;5761920;5613668;5066696;5187804;5604349;5217672;5333372;5024313;4753037;5812039;5050208;5383761;5112059;5294948;5103912;5136724;5438420;5089575;5177718;4926347;4639884;5509118;4738321;5343709;5104916;5379567;5094353;5197579;5254975;4839806;5508153;4768862;4511497;6060828;4630770;5203541;5328826;5336757;5035686;5247762;5212790;5022958;5559952;4847118;4574917;5606739;4781190;5114912;5129598;5284514;5090423;5356091;5375877;5319068;5196895;4836490;4829037;5123537;4537176;5355825;5193145;5308141;5214520;5271198;5153169;4987633;5055432;4864621;4616472;5065726;4763109;5328272;5105796;5217473;5112733;5460364;5218420;4900772;4938820;4672656;4529639;5055378;4560227;5333739;4909515;5316235;5087331;5100381;5396318;4908561;5166209;4858803;4615433;5177105;4593058;5180558;5205396;5326358;5108994;5246089;5304598;4934970;5306121;4927013;4723181;5273023;4798750;5245068;5243903;5494349;5103357;5397457;5343517;5130736;5328873;4966746;4815056;5268396;4789323;4491735;3805591;4129043;4304355;4642525;4645747;4627360;4771886;4541985;4390402;4122749;3059290;1670584;834792437
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
