,UF,regiao,data,perm_media
241,Goiás,Centro-Oeste,2008-10-01,4.9
242,Distrito Federal,Centro-Oeste,2008-10-01,6.1
243,Rondônia,Norte,2008-11-01,3.6
244,Acre,Norte,2008-11-01,4.3
245,Amazonas,Norte,2008-11-01,4.5
246,Roraima,Norte,2008-11-01,4.6
247,Pará,Norte,2008-11-01,3.7
248,Amapá,Norte,2008-11-01,4.8
249,Tocantins,Norte,2008-11-01,4.4
250,Maranhão,Nordeste,2008-11-01,4.7
251,Piauí,Nordeste,2008-11-01,4.3
252,Ceará,Nordeste,2008-11-01,5.1
253,Rio Grande do Norte,Nordeste,2008-11-01,5.9
254,Paraíba,Nordeste,2008-11-01,5.1
255,Pernambuco,Nordeste,2008-11-01,5.4
256,Alagoas,Nordeste,2008-11-01,5.4
257,Sergipe,Nordeste,2008-11-01,4.4
258,Bahia,Nordeste,2008-11-01,4.1
259,Minas Gerais,Sudeste,2008-11-01,5.4
260,Espírito Santo,Sudeste,2008-11-01,5.9
261,Rio de Janeiro,Sudeste,2008-11-01,8.4
262,São Paulo,Sudeste,2008-11-01,7.1
263,Paraná,Sul,2008-11-01,5.1
264,Santa Catarina,Sul,2008-11-01,5.4
265,Rio Grande do Sul,Sul,2008-11-01,5.7
266,Mato Grosso do Sul,Centro-Oeste,2008-11-01,4.8
267,Mato Grosso,Centro-Oeste,2008-11-01,4.3
268,Goiás,Centro-Oeste,2008-11-01,5.3
269,Distrito Federal,Centro-Oeste,2008-11-01,6.2
270,Rondônia,Norte,2008-12-01,3.6
271,Acre,Norte,2008-12-01,4.0
272,Amazonas,Norte,2008-12-01,4.3
273,Roraima,Norte,2008-12-01,5.0
274,Pará,Norte,2008-12-01,3.8
275,Amapá,Norte,2008-12-01,4.4
276,Tocantins,Norte,2008-12-01,4.4
277,Maranhão,Nordeste,2008-12-01,4.7
278,Piauí,Nordeste,2008-12-01,4.3
279,Ceará,Nordeste,2008-12-01,5.1
280,Rio Grande do Norte,Nordeste,2008-12-01,5.6
281,Paraíba,Nordeste,2008-12-01,4.8
282,Pernambuco,Nordeste,2008-12-01,5.5
283,Alagoas,Nordeste,2008-12-01,5.1
284,Sergipe,Nordeste,2008-12-01,4.7
285,Bahia,Nordeste,2008-12-01,4.2
286,Minas Gerais,Sudeste,2008-12-01,6.0
287,Espírito Santo,Sudeste,2008-12-01,5.7
288,Rio de Janeiro,Sudeste,2008-12-01,8.9
289,São Paulo,Sudeste,2008-12-01,6.2
290,Paraná,Sul,2008-12-01,5.3
291,Santa Catarina,Sul,2008-12-01,5.5
292,Rio Grande do Sul,Sul,2008-12-01,5.8
293,Mato Grosso do Sul,Centro-Oeste,2008-12-01,4.5
294,Mato Grosso,Centro-Oeste,2008-12-01,4.3
295,Goiás,Centro-Oeste,2008-12-01,4.8
296,Distrito Federal,Centro-Oeste,2008-12-01,6.1
297,Rondônia,Norte,2009-01-01,3.8
