,UF,regiao,data,valor_corrigido
142,Maranhão,Nordeste,2008-07-01,20738407.794193756
143,Piauí,Nordeste,2008-07-01,15526301.85362295
144,Ceará,Nordeste,2008-07-01,44581591.955735095
145,Rio Grande do Norte,Nordeste,2008-07-01,16450098.469644185
146,Paraíba,Nordeste,2008-07-01,19470238.997631896
147,Pernambuco,Nordeste,2008-07-01,44900543.500400536
148,Alagoas,Nordeste,2008-07-01,13603517.489599144
149,Sergipe,Nordeste,2008-07-01,6812770.865615426
150,Bahia,Nordeste,2008-07-01,87931130.88963288
151,Minas Gerais,Sudeste,2008-07-01,124111459.49869034
152,Espírito Santo,Sudeste,2008-07-01,18133398.49509427
153,Rio de Janeiro,Sudeste,2008-07-01,67542192.7273326
154,São Paulo,Sudeste,2008-07-01,273468375.39395535
155,Paraná,Sul,2008-07-01,91662280.95092863
156,Santa Catarina,Sul,2008-07-01,45983618.10097992
157,Rio Grande do Sul,Sul,2008-07-01,87163311.92586502
158,Mato Grosso do Sul,Centro-Oeste,2008-07-01,15185761.42100409
159,Mato Grosso,Centro-Oeste,2008-07-01,14661742.461122178
160,Goiás,Centro-Oeste,2008-07-01,30596234.204022262
161,Distrito Federal,Centro-Oeste,2008-07-01,16665443.1851196
162,Rondônia,Norte,2008-08-01,4226558.460681538
163,Acre,Norte,2008-08-01,2645984.591097812
164,Amazonas,Norte,2008-08-01,11862179.665052047
165,Roraima,Norte,2008-08-01,1485058.5189269583
166,Pará,Norte,2008-08-01,33269271.489522204
167,Amapá,Norte,2008-08-01,2099612.83151258
168,Tocantins,Norte,2008-08-01,7567752.203749478
169,Maranhão,Nordeste,2008-08-01,20682033.79455035
170,Piauí,Nordeste,2008-08-01,15465456.800981384
171,Ceará,Nordeste,2008-08-01,43017641.992565155
172,Rio Grande do Norte,Nordeste,2008-08-01,15955815.310752314
173,Paraíba,Nordeste,2008-08-01,18745206.6363673
174,Pernambuco,Nordeste,2008-08-01,45826002.612673566
175,Alagoas,Nordeste,2008-08-01,13312854.940834861
176,Sergipe,Nordeste,2008-08-01,6272127.936461373
177,Bahia,Nordeste,2008-08-01,62779200.80835052
178,Minas Gerais,Sudeste,2008-08-01,120729806.1839825
179,Espírito Santo,Sudeste,2008-08-01,18289442.00774579
180,Rio de Janeiro,Sudeste,2008-08-01,64416141.426786795
181,São Paulo,Sudeste,2008-08-01,273433372.21629006
182,Paraná,Sul,2008-08-01,86287350.57153317
183,Santa Catarina,Sul,2008-08-01,43949237.16676623
184,Rio Grande do Sul,Sul,2008-08-01,86679857.53148244
185,Mato Grosso do Sul,Centro-Oeste,2008-08-01,14239648.407339538
186,Mato Grosso,Centro-Oeste,2008-08-01,13313284.176352337
187,Goiás,Centro-Oeste,2008-08-01,32025835.062186196
188,Distrito Federal,Centro-Oeste,2008-08-01,16973645.497908294
189,Rondônia,Norte,2008-09-01,4065113.3269478073
190,Acre,Norte,2008-09-01,2925659.1041909102
191,Amazonas,Norte,2008-09-01,11545873.708755745
192,Roraima,Norte,2008-09-01,1396916.6549667139
193,Pará,Norte,2008-09-01,33690859.905158915
194,Amapá,Norte,2008-09-01,2107478.5209877514
195,Tocantins,Norte,2008-09-01,7515286.536989569
196,Maranhão,Nordeste,2008-09-01,21644070.23600671
197,Piauí,Nordeste,2008-09-01,15976363.912573604
198,Ceará,Nordeste,2008-09-01,44417408.73679125
199,Rio Grande do Norte,Nordeste,2008-09-01,16583337.124526042
200,Paraíba,Nordeste,2008-09-01,18778920.60675333
201,Pernambuco,Nordeste,2008-09-01,44376285.17785291
202,Alagoas,Nordeste,2008-09-01,13150077.421595812
203,Sergipe,Nordeste,2008-09-01,6215143.7523728395
204,Bahia,Nordeste,2008-09-01,61892129.70445912
205,Minas Gerais,Sudeste,2008-09-01,123514995.61714105
206,Espírito Santo,Sudeste,2008-09-01,18406244.04308679
207,Rio de Janeiro,Sudeste,2008-09-01,65084151.54844839
208,São Paulo,Sudeste,2008-09-01,272399703.11571264
209,Paraná,Sul,2008-09-01,88174698.18894655
210,Santa Catarina,Sul,2008-09-01,46495336.15128426
211,Rio Grande do Sul,Sul,2008-09-01,88966449.16530813
212,Mato Grosso do Sul,Centro-Oeste,2008-09-01,15242513.033549998
213,Mato Grosso,Centro-Oeste,2008-09-01,12949071.105187748
214,Goiás,Centro-Oeste,2008-09-01,32537011.99427932
215,Distrito Federal,Centro-Oeste,2008-09-01,18240736.439661197
216,Rondônia,Norte,2008-10-01,4102994.872077247
217,Acre,Norte,2008-10-01,3128389.7532336847
218,Amazonas,Norte,2008-10-01,10937570.04217358
219,Roraima,Norte,2008-10-01,1402314.1428813713
220,Pará,Norte,2008-10-01,33186528.527158428
221,Amapá,Norte,2008-10-01,2209634.2198792454
222,Tocantins,Norte,2008-10-01,8745454.11364253
223,Maranhão,Nordeste,2008-10-01,22166330.37137624
224,Piauí,Nordeste,2008-10-01,16079983.639127584
225,Ceará,Nordeste,2008-10-01,46422449.549262814
226,Rio Grande do Norte,Nordeste,2008-10-01,15528350.861019405
227,Paraíba,Nordeste,2008-10-01,18668826.454728417
228,Pernambuco,Nordeste,2008-10-01,44596131.23221474
229,Alagoas,Nordeste,2008-10-01,13416848.039098186
230,Sergipe,Nordeste,2008-10-01,6272865.728212203
231,Bahia,Nordeste,2008-10-01,62674291.79471756
232,Minas Gerais,Sudeste,2008-10-01,132680119.46903126
233,Espírito Santo,Sudeste,2008-10-01,18863114.630037088
234,Rio de Janeiro,Sudeste,2008-10-01,67288394.55151282
235,São Paulo,Sudeste,2008-10-01,289605326.874836
236,Paraná,Sul,2008-10-01,92910380.30160329
237,Santa Catarina,Sul,2008-10-01,47312496.79943241
238,Rio Grande do Sul,Sul,2008-10-01,91278443.61123423
239,Mato Grosso do Sul,Centro-Oeste,2008-10-01,16079868.513850573
240,Mato Grosso,Centro-Oeste,2008-10-01,13515281.020860659
241,Goiás,Centro-Oeste,2008-10-01,31169996.488636877
242,Distrito Federal,Centro-Oeste,2008-10-01,18051946.129731808
243,Rondônia,Norte,2008-11-01,3920216.3771249447
