,UF,regiao,data,valor_hospitalar,valor_corrigido
109,Acre,Norte,2008-06-01,1605045.77,3016164.666724064
110,Amazonas,Norte,2008-06-01,6635444.19,12469172.336373609
111,Roraima,Norte,2008-06-01,681752.89,1281134.168687923
112,Pará,Norte,2008-06-01,18141592.73,34091258.96162086
113,Amapá,Norte,2008-06-01,1042894.53,1959783.1359698852
114,Tocantins,Norte,2008-06-01,4248327.7,7983358.568899321
115,Maranhão,Nordeste,2008-06-01,11146698.99,20946617.39412379
116,Piauí,Nordeste,2008-06-01,8189998.84,15390455.265159864
117,Ceará,Nordeste,2008-06-01,23227324.91,43648248.545623526
118,Rio Grande do Norte,Nordeste,2008-06-01,8220414.8,15447612.229510166
119,Paraíba,Nordeste,2008-06-01,9741907.9,18306766.662772503
120,Pernambuco,Nordeste,2008-06-01,22544181.97,42364502.2273176
121,Alagoas,Nordeste,2008-06-01,7963559.17,14964935.1058197
122,Sergipe,Nordeste,2008-06-01,3709714.97,6971210.058471616
123,Bahia,Nordeste,2008-06-01,31089802.63,58423233.74244391
124,Minas Gerais,Sudeste,2008-06-01,64114843.07,120483121.35067163
125,Espírito Santo,Sudeste,2008-06-01,9413482.41,17689597.12337081
126,Rio de Janeiro,Sudeste,2008-06-01,35845218.62,67359500.8275954
127,São Paulo,Sudeste,2008-06-01,142619771.46,268007756.22362038
128,Paraná,Sul,2008-06-01,45907447.6,86268207.4110612
129,Santa Catarina,Sul,2008-06-01,23668110.53,44476562.62706188
130,Rio Grande do Sul,Sul,2008-06-01,44348286.63,83338268.3929052
131,Mato Grosso do Sul,Centro-Oeste,2008-06-01,8191758.1,15393761.225619534
132,Mato Grosso,Centro-Oeste,2008-06-01,7501443.18,14096537.48936655
133,Goiás,Centro-Oeste,2008-06-01,16713790.07,31408165.4233309
134,Distrito Federal,Centro-Oeste,2008-06-01,9523750.79,17896810.897475768
135,Rondônia,Norte,2008-07-01,2327203.11,4350177.904958786
136,Acre,Norte,2008-07-01,1544486.93,2887067.694483971
137,Amazonas,Norte,2008-07-01,6736609.3,12592561.77738602
138,Roraima,Norte,2008-07-01,750331.77,1402574.907715132
139,Pará,Norte,2008-07-01,17319550.65,32374968.148544878
140,Amapá,Norte,2008-07-01,1006383.81,1881206.0689323512
141,Tocantins,Norte,2008-07-01,3979060.46,7437950.224975054
142,Maranhão,Nordeste,2008-07-01,11094370.89,20738407.794193756
143,Piauí,Nordeste,2008-07-01,8306064.43,15526301.85362295
144,Ceará,Nordeste,2008-07-01,23849695.74,44581591.955735095
145,Rio Grande do Norte,Nordeste,2008-07-01,8800265.45,16450098.469644185
146,Paraíba,Nordeste,2008-07-01,10415942.0,19470238.997631896
147,Pernambuco,Nordeste,2008-07-01,24020324.4,44900543.500400536
148,Alagoas,Nordeste,2008-07-01,7277437.59,13603517.489599144
149,Sergipe,Nordeste,2008-07-01,3644609.92,6812770.865615426
150,Bahia,Nordeste,2008-07-01,47040283.35,87931130.88963288
151,Minas Gerais,Sudeste,2008-07-01,66395577.57,124111459.49869034
152,Espírito Santo,Sudeste,2008-07-01,9700775.99,18133398.49509427
153,Rio de Janeiro,Sudeste,2008-07-01,36132867.3,67542192.7273326
154,São Paulo,Sudeste,2008-07-01,146296649.84,273468375.39395535
155,Paraná,Sul,2008-07-01,49036326.78,91662280.95092863
156,Santa Catarina,Sul,2008-07-01,24599733.94,45983618.10097992
157,Rio Grande do Sul,Sul,2008-07-01,46629525.28,87163311.92586502
158,Mato Grosso do Sul,Centro-Oeste,2008-07-01,8123886.42,15185761.42100409
159,Mato Grosso,Centro-Oeste,2008-07-01,7843553.39,14661742.461122178
160,Goiás,Centro-Oeste,2008-07-01,16367986.08,30596234.204022262
161,Distrito Federal,Centro-Oeste,2008-07-01,8915467.84,16665443.1851196
162,Rondônia,Norte,2008-08-01,2267402.34,4226558.460681538
163,Acre,Norte,2008-08-01,1419479.16,2645984.591097812
164,Amazonas,Norte,2008-08-01,6363648.86,11862179.665052047
165,Roraima,Norte,2008-08-01,796682.5,1485058.5189269583
166,Pará,Norte,2008-08-01,17847812.76,33269271.489522204
167,Amapá,Norte,2008-08-01,1126369.62,2099612.83151258
168,Tocantins,Norte,2008-08-01,4059837.15,7567752.203749478
169,Maranhão,Nordeste,2008-08-01,11095195.36,20682033.79455035
170,Piauí,Nordeste,2008-08-01,8296682.34,15465456.800981384
171,Ceará,Nordeste,2008-08-01,23077476.16,43017641.992565155
172,Rio Grande do Norte,Nordeste,2008-08-01,8559742.71,15955815.310752314
173,Paraíba,Nordeste,2008-08-01,10056154.62,18745206.6363673
174,Pernambuco,Nordeste,2008-08-01,24584064.44,45826002.612673566
175,Alagoas,Nordeste,2008-08-01,7141885.94,13312854.940834861
176,Sergipe,Nordeste,2008-08-01,3364779.57,6272127.936461373
177,Bahia,Nordeste,2008-08-01,33678868.55,62779200.80835052
178,Minas Gerais,Sudeste,2008-08-01,64767362.76,120729806.1839825
179,Espírito Santo,Sudeste,2008-08-01,9811652.67,18289442.00774579
180,Rio de Janeiro,Sudeste,2008-08-01,34557030.54,64416141.426786795
181,São Paulo,Sudeste,2008-08-01,146687541.12,273433372.21629006
182,Paraná,Sul,2008-08-01,46290177.32,86287350.57153317
183,Santa Catarina,Sul,2008-08-01,23577244.73,43949237.16676623
184,Rio Grande do Sul,Sul,2008-08-01,46500743.72,86679857.53148244
185,Mato Grosso do Sul,Centro-Oeste,2008-08-01,7639078.56,14239648.407339538
186,Mato Grosso,Centro-Oeste,2008-08-01,7142116.21,13313284.176352337
187,Goiás,Centro-Oeste,2008-08-01,17180752.15,32025835.062186196
188,Distrito Federal,Centro-Oeste,2008-08-01,9105773.38,16973645.497908294
189,Rondônia,Norte,2008-09-01,2186462.11,4065113.3269478073
190,Acre,Norte,2008-09-01,1573595.19,2925659.1041909102
191,Amazonas,Norte,2008-09-01,6210064.36,11545873.708755745
192,Roraima,Norte,2008-09-01,751345.68,1396916.6549667139
193,Pará,Norte,2008-09-01,18120968.03,33690859.905158915
194,Amapá,Norte,2008-09-01,1133528.53,2107478.5209877514
195,Tocantins,Norte,2008-09-01,4042172.49,7515286.536989569
196,Maranhão,Nordeste,2008-09-01,11641480.98,21644070.23600671
197,Piauí,Nordeste,2008-09-01,8593048.1,15976363.912573604
198,Ceará,Nordeste,2008-09-01,23890350.26,44417408.73679125
199,Rio Grande do Norte,Nordeste,2008-09-01,8919514.75,16583337.124526042
200,Paraíba,Nordeste,2008-09-01,10100431.42,18778920.60675333
201,Pernambuco,Nordeste,2008-09-01,23868231.54,44376285.17785291
202,Alagoas,Nordeste,2008-09-01,7072901.47,13150077.421595812
203,Sergipe,Nordeste,2008-09-01,3342877.61,6215143.7523728395
204,Bahia,Nordeste,2008-09-01,33289304.78,61892129.70445912
205,Minas Gerais,Sudeste,2008-09-01,66433783.32,123514995.61714105
206,Espírito Santo,Sudeste,2008-09-01,9899983.58,18406244.04308679
207,Rio de Janeiro,Sudeste,2008-09-01,35006165.85,65084151.54844839
208,São Paulo,Sudeste,2008-09-01,146512921.47,272399703.11571264
209,Paraná,Sul,2008-09-01,47425648.72,88174698.18894655
210,Santa Catarina,Sul,2008-09-01,25007984.43,46495336.15128426
211,Rio Grande do Sul,Sul,2008-09-01,47851499.95,88966449.16530813
212,Mato Grosso do Sul,Centro-Oeste,2008-09-01,8198339.02,15242513.033549998
213,Mato Grosso,Centro-Oeste,2008-09-01,6964788.2,12949071.105187748
214,Goiás,Centro-Oeste,2008-09-01,17500359.32,32537011.99427932
215,Distrito Federal,Centro-Oeste,2008-09-01,9810963.65,18240736.439661197
216,Rondônia,Norte,2008-10-01,2216770.18,4102994.872077247
217,Acre,Norte,2008-10-01,1690209.55,3128389.7532336847
218,Amazonas,Norte,2008-10-01,5909361.3,10937570.04217358
219,Roraima,Norte,2008-10-01,757643.69,1402314.1428813713
220,Pará,Norte,2008-10-01,17930050.88,33186528.527158428
221,Amapá,Norte,2008-10-01,1193823.39,2209634.2198792454
222,Tocantins,Norte,2008-10-01,4725002.71,8745454.11364253
223,Maranhão,Nordeste,2008-10-01,11976047.18,22166330.37137624
224,Piauí,Nordeste,2008-10-01,8687709.67,16079983.639127584
225,Ceará,Nordeste,2008-10-01,25081167.55,46422449.549262814
226,Rio Grande do Norte,Nordeste,2008-10-01,8389672.96,15528350.861019405
227,Paraíba,Nordeste,2008-10-01,10086412.26,18668826.454728417
228,Pernambuco,Nordeste,2008-10-01,24094442.46,44596131.23221474
229,Alagoas,Nordeste,2008-10-01,7248868.1,13416848.039098186
230,Sergipe,Nordeste,2008-10-01,3389110.18,6272865.728212203
231,Bahia,Nordeste,2008-10-01,33861729.16,62674291.79471756
232,Minas Gerais,Sudeste,2008-10-01,71684547.87,132680119.46903126
233,Espírito Santo,Sudeste,2008-10-01,10191382.47,18863114.630037088
